ds,yhat,관광지명
2025-01-01,1.6287348569790379,동래온천
2025-02-01,1.0921705158036086,동래온천
2025-03-01,1.4506854957842843,동래온천
2025-04-01,1.44500427179281,동래온천
2025-05-01,1.4221165658933084,동래온천
2025-06-01,1.419837121439447,동래온천
2025-07-01,1.368022038965721,동래온천
2025-08-01,1.1583159256582753,동래온천
2025-09-01,1.236199187506994,동래온천
2025-10-01,1.2928157340739945,동래온천
2025-11-01,1.3266734683955266,동래온천
2025-12-01,1.593505145984683,동래온천
2025-01-01,0.004515592910717174,금강공원
2025-02-01,0.03298087904410925,금강공원
2025-03-01,0.05489068021763496,금강공원
2025-04-01,0.07604439990964243,금강공원
2025-05-01,0.070852631918281,금강공원
2025-06-01,0.06265285168635054,금강공원
2025-07-01,0.03147681680657854,금강공원
2025-08-01,0.028661662752536347,금강공원
2025-09-01,0.04408376012230811,금강공원
2025-10-01,0.07313019509864897,금강공원
2025-11-01,0.07271709989490724,금강공원
2025-12-01,0.024115241803734696,금강공원
2025-01-01,0.704040127350507,부전마켓타운
2025-02-01,0.14325400139991729,부전마켓타운
2025-03-01,0.30821876848709007,부전마켓타운
2025-04-01,0.19228361557964663,부전마켓타운
2025-05-01,0.17303745221211808,부전마켓타운
2025-06-01,0.2524394504660269,부전마켓타운
2025-07-01,0.3360190086087163,부전마켓타운
2025-08-01,0.3635148349853448,부전마켓타운
2025-09-01,0.2899481068996121,부전마켓타운
2025-10-01,0.23452047937376846,부전마켓타운
2025-11-01,0.34095705526029346,부전마켓타운
2025-12-01,0.3991025380039405,부전마켓타운
2025-01-01,0.17229270264312158,송상현광장
2025-02-01,1.5926585226529233,송상현광장
2025-03-01,1.1965443093683168,송상현광장
2025-04-01,1.6380486577515483,송상현광장
2025-05-01,1.6155425041312774,송상현광장
2025-06-01,1.3125431694557759,송상현광장
2025-07-01,1.2100233115278245,송상현광장
2025-08-01,1.1523692441356648,송상현광장
2025-09-01,1.1787932635315133,송상현광장
2025-10-01,1.6055684477849617,송상현광장
2025-11-01,1.3854765421937032,송상현광장
2025-12-01,1.1500298505792976,송상현광장
2025-01-01,2.3058865669155977,전포카페거리
2025-02-01,2.3654935306247302,전포카페거리
2025-03-01,2.7020046613179054,전포카페거리
2025-04-01,2.7920738534580525,전포카페거리
2025-05-01,2.7307849112280396,전포카페거리
2025-06-01,2.7032861491068507,전포카페거리
2025-07-01,2.86713231440448,전포카페거리
2025-08-01,2.5845643232936113,전포카페거리
2025-09-01,2.561976074414446,전포카페거리
2025-10-01,2.6627670696055685,전포카페거리
2025-11-01,2.7226254432130452,전포카페거리
2025-12-01,2.726117691693523,전포카페거리
2025-01-01,0.5606246576080898,황령산
2025-02-01,0.8317099174892446,황령산
2025-03-01,0.7034525676356457,황령산
2025-04-01,0.7329274418042598,황령산
2025-05-01,0.6987901961729344,황령산
2025-06-01,0.6915207485519679,황령산
2025-07-01,0.7633275904404839,황령산
2025-08-01,0.7129257663946479,황령산
2025-09-01,0.6827931126152504,황령산
2025-10-01,0.7132692790661254,황령산
2025-11-01,0.7605843600583087,황령산
2025-12-01,0.7227972012158665,황령산
2025-01-01,0.333399592147985,호천마을
2025-02-01,0.47722349686198917,호천마을
2025-03-01,0.4368648884506789,호천마을
2025-04-01,0.4659063024965829,호천마을
2025-05-01,0.45853502236965926,호천마을
2025-06-01,0.4446344774884985,호천마을
2025-07-01,0.4906039302658029,호천마을
2025-08-01,0.4543639692528067,호천마을
2025-09-01,0.45513090639848675,호천마을
2025-10-01,0.4752198185810232,호천마을
2025-11-01,0.479001909222673,호천마을
2025-12-01,0.46773409724870835,호천마을
2025-01-01,0.0,성지곡수원지
2025-02-01,0.19090434990429833,성지곡수원지
2025-03-01,0.17354310054042935,성지곡수원지
2025-04-01,0.13042389754010678,성지곡수원지
2025-05-01,0.05316788503250494,성지곡수원지
2025-06-01,0.17440316249492566,성지곡수원지
2025-07-01,0.11258419818701412,성지곡수원지
2025-08-01,0.16074898136295737,성지곡수원지
2025-09-01,0.18365338041560364,성지곡수원지
2025-10-01,0.22316645044219818,성지곡수원지
2025-11-01,0.20350965009338004,성지곡수원지
2025-12-01,0.15216129305171008,성지곡수원지
2025-01-01,0.010593073836542835,화명생태공원
2025-02-01,0.00687539643386962,화명생태공원
2025-03-01,0.008505920643102191,화명생태공원
2025-04-01,0.008940602333831479,화명생태공원
2025-05-01,0.009016165672590004,화명생태공원
2025-06-01,0.009390696385092764,화명생태공원
2025-07-01,0.00873694687367377,화명생태공원
2025-08-01,0.008087537637726858,화명생태공원
2025-09-01,0.008642542625560091,화명생태공원
2025-10-01,0.008609858766361682,화명생태공원
2025-11-01,0.00842946946759067,화명생태공원
2025-12-01,0.008132004980711843,화명생태공원
2025-01-01,0.10670471906987691,문화빙상센터
2025-02-01,0.12012449624718544,문화빙상센터
2025-03-01,0.05446247232945056,문화빙상센터
2025-04-01,0.05897995637691518,문화빙상센터
2025-05-01,0.04802928590939499,문화빙상센터
2025-06-01,0.06699330889387035,문화빙상센터
2025-07-01,0.07676915555225888,문화빙상센터
2025-08-01,0.06405054936295396,문화빙상센터
2025-09-01,0.06293438636802645,문화빙상센터
2025-10-01,0.059663394956876004,문화빙상센터
2025-11-01,0.05221082970349335,문화빙상센터
2025-12-01,0.061287640266377626,문화빙상센터
2025-01-01,0.40697720026094014,부산어촌민속관
2025-02-01,0.17911662289308067,부산어촌민속관
2025-03-01,0.4293948212877121,부산어촌민속관
2025-04-01,0.4529149226278752,부산어촌민속관
2025-05-01,0.4881190554521226,부산어촌민속관
2025-06-01,0.46446963964315113,부산어촌민속관
2025-07-01,0.3975869457524527,부산어촌민속관
2025-08-01,0.38541361029898163,부산어촌민속관
2025-09-01,0.42237864017525867,부산어촌민속관
2025-10-01,0.4274310479545067,부산어촌민속관
2025-11-01,0.43055004126686114,부산어촌민속관
2025-12-01,0.38431311591215944,부산어촌민속관
2025-01-01,0.09125798786375758,구포시장
2025-02-01,0.1043614522753045,구포시장
2025-03-01,0.09986236467152362,구포시장
2025-04-01,0.09955604722295011,구포시장
2025-05-01,0.08676903149245527,구포시장
2025-06-01,0.09097039531273321,구포시장
2025-07-01,0.08875617317041101,구포시장
2025-08-01,0.08984032229239172,구포시장
2025-09-01,0.10183793066187609,구포시장
2025-10-01,0.10184163350209775,구포시장
2025-11-01,0.09794693042199615,구포시장
2025-12-01,0.09912390225832017,구포시장
2025-01-01,0.02003663147602816,삼락생태공원
2025-02-01,0.027840741781995387,삼락생태공원
2025-03-01,0.023202644489509965,삼락생태공원
2025-04-01,0.0245461534226641,삼락생태공원
2025-05-01,0.02217744590198893,삼락생태공원
2025-06-01,0.02068995652910583,삼락생태공원
2025-07-01,0.021620620408709806,삼락생태공원
2025-08-01,0.01996125002601366,삼락생태공원
2025-09-01,0.019312413660248638,삼락생태공원
2025-10-01,0.020253904053090674,삼락생태공원
2025-11-01,0.019762709913946765,삼락생태공원
2025-12-01,0.017930791980462046,삼락생태공원
2025-01-01,0.0,사상인디스테이션
2025-02-01,0.0,사상인디스테이션
2025-03-01,0.1102765600424524,사상인디스테이션
2025-04-01,0.09475057248878407,사상인디스테이션
2025-05-01,0.11922945421076764,사상인디스테이션
2025-06-01,0.12940591505288296,사상인디스테이션
2025-07-01,0.2568805675757593,사상인디스테이션
