관광지명,이미지유사도,리뷰 유사 관광지,리뷰유사도
임랑해수욕장,일광해수욕장(0.5232),일광해수욕장,0.5312722
,송정해수욕장(0.3609),송정해수욕장,0.43605283
,송도해수욕장(0.2376),해운대해수욕장,0.34485513
,야구등대(0.1906),야구등대,0.3429501
,태종대(0.1669),다대포해수욕장,0.30488786
자갈치시장,국제시장(0.1995),국제시장,0.72607577
,부전마켓타운(0.1756),비프광장,0.6721523
,벡스코(0.1683),부전마켓타운,0.5624892
,낙동강하구에코센터(0.1681),구포시장,0.54612076
,용호만유람선(0.1669),서동미로시장,0.45414943
장산,황령산(0.5815),아홉산숲,0.51539236
,금정산성(0.3448),부산치유의숲,0.42640436
,금강공원(0.3400),구덕야영장,0.32512504
,성지곡수원지(0.3212),장안사,0.32016188
,회동수원지(0.2644),화명생태공원,0.2948113
장안사,범어사(0.5371),범어사,0.49544615
,동래읍성(0.1922),아홉산숲,0.37301108
,낙동강하구에코센터(0.1606),장산,0.32016188
,금강공원(0.1601),부산치유의숲,0.29490912
,부산박물관(0.1582),안데르센 동화마을,0.25080276
전포카페거리,보수동책방골목(0.2598),구포시장,0.46558148
,깡깡이예술마을(0.1912),부전마켓타운,0.46333724
,국제시장(0.1559),보수동책방골목,0.41386384
,동래온천(0.1213),서동미로시장,0.40803415
,비프광장(0.1092),상해거리,0.3737932
절영해안산책로,흰여울문화마을(0.7178),흰여울문화마을,0.7843094
,남항대교(0.2914),깡깡이예술마을,0.4953227
,감천문화마을(0.2687),영도대교,0.470826
,태종대(0.2277),부산항대교,0.4149547
,이기대도시자연공원(0.1960),남항대교,0.3945356
초량이바구길,호천마을(0.3249),호천마을,0.37862155
,감천문화마을(0.3070),깡깡이예술마을,0.34787315
,장산(0.2280),송상현광장,0.33899945
,사상인디스테이션(0.1967),절영해안산책로,0.31784207
,흰여울문화마을(0.1760),흰여울문화마을,0.29255658
태종대,이기대도시자연공원(0.3095),영도대교,0.42185873
,아미르공원(0.2496),자갈치시장,0.3468943
,송도용궁구름다리(0.2433),흰여울문화마을,0.3057924
,용두산공원(0.2366),비프광장,0.2881891
,안데르센 동화마을(0.2335),절영해안산책로,0.2635425
해운대블루라인파크,흰여울문화마을(0.1930),더베이101,0.4844496
,태종대(0.1638),용호만유람선부두,0.45493785
,사상인디스테이션(0.1557),해운대해수욕장,0.45183074
,부산어촌민속관(0.1337),송도용궁구름다리,0.4026401
,안데르센 동화마을(0.1282),송정해수욕장,0.3654563
해운대해수욕장,송도해수욕장(0.3960),송정해수욕장,0.60857326
,송정해수욕장(0.3670),더베이101,0.57319164
,다대포해수욕장(0.3229),광안리 SUPZONE,0.46821868
,더베이101(0.2001),해운대블루라인파크,0.45183074
,일광해수욕장(0.1113),누리마루,0.4173166
호천마을,감천문화마을(0.5975),감천문화마을,0.5085909
,초량이바구길(0.3249),초량이바구길,0.37862155
,흰여울문화마을(0.2225),절영해안산책로,0.3093195
,오륙도스카이워크(0.1703),흰여울문화마을,0.30311257
,부산항대교(0.1580),부산항대교,0.2638644
